"_id","company","payslipIds","approved","totalSalary","totalEligible","totalAdditions","totalDeductions","totalPayable","companyName"
"5ab25efbd420c20001cb411e","DB","5ab25efbd420c20001cb4135","true","186000","0","0","0","0","Doha Bank"
"5ab25efbd420c20001cb411e","DB","5ab25efbd420c20001cb4136","true","186000","0","0","0","0","Doha Bank"
"5ab25efbd420c20001cb411e","DB","5ab25efbd420c20001cb4137","true","186000","0","0","0","0","Doha Bank"
"5ab25efbd420c20001cb411e","DB","5ab25efbd420c20001cb4138","true","186000","0","0","0","0","Doha Bank"
"5ab25efbd420c20001cb411e","DB","5ab25efbd420c20001cb4139","true","186000","0","0","0","0","Doha Bank"
"5ab25efbd420c20001cb413a","MTM","5ab25efbd420c20001cb413b","true","60150","0","0","0","0","MTM GROUP"
"5ab25efbd420c20001cb413a","MTM","5ab25efbd420c20001cb413c","true","60150","0","0","0","0","MTM GROUP"
"5ab25efbd420c20001cb413a","MTM","5ab25efbd420c20001cb413d","true","60150","0","0","0","0","MTM GROUP"
"5ab25efbd420c20001cb413a","MTM","5ab25efbd420c20001cb413e","true","60150","0","0","0","0","MTM GROUP"
"5ab25efbd420c20001cb413a","MTM","5ab25efbd420c20001cb413f","true","60150","0","0","0","0","MTM GROUP"
"5ab25efbd420c20001cb413a","MTM","5ab25efbd420c20001cb4140","true","60150","0","0","0","0","MTM GROUP"
"5ab25efbd420c20001cb413a","MTM","5ab25efbd420c20001cb4141","true","60150","0","0","0","0","MTM GROUP"
"5ab25efbd420c20001cb413a","MTM","5ab25efbd420c20001cb4142","true","60150","0","0","0","0","MTM GROUP"
"5ab25efbd420c20001cb413a","MTM","5ab25efbd420c20001cb4143","true","60150","0","0","0","0","MTM GROUP"
"5ab25efbd420c20001cb413a","MTM","5ab25efcd420c20001cb4144","true","60150","0","0","0","0","MTM GROUP"
"5ab25efcd420c20001cb4145","PAT","5ab25efcd420c20001cb4146","true","1800","0","0","0","0","Patrice Saloon"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4148","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4149","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb414a","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb414b","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb414c","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb414d","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb414e","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb414f","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4150","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4151","true","229230","0","0","0","0","United Development Company"
